Domain;Mean text length (positive);Mean text length (negative)
Books;719.6461538461539;691.6276
Movies_TV;672.1916;713.27532
Beauty;358.89676;400.07588
Clothing_Accessories;277.569;356.45988
Electronics;530.2770110804432;539.6332253290132
Patio;426.727;459.96619864794593
Baby;449.01408056322254;525.33616
Office_Products;413.71152;480.7370694827793
Health;383.84078726298105;417.08180654452354
Toys_Games;393.73576;451.42252
Pet_Supplies;421.61992;474.5592
Tools_Home_Improvement;412.69944;482.00336
Sports_Outdoors;368.8694695575646;435.79688
Amazon_Instant_Video;621.673;706.77824
Shoes;327.27728;381.0008
Music;607.316252650106;594.54692
Video_Games;608.4161932954636;613.7593807504601
Software;575.79156;642.8231058484679
Home_Kitchen;403.58432;486.3254
Automotive;356.38852;405.214368574743
